route_id,passenger_id,passenger_name,individual_name,is_wheelchair,wheelchair_count,non_wheelchair_count,pickup_stop_id,dropoff_stop_id,planned_pickup_time,planned_dropoff_time,actual_pickup_time,actual_dropoff_time,total_ride_time_min,direct_drive_time_min,detour_time_min,dropoff_delay_min
R028,1042,乘客906,乘客906,否,0,1,456,458,09:30,10:15,08:58,09:28,30.0,11.0,16.0,0.0
R028,2407,乘客2035,乘客2035,否,0,1,980,521,09:40,09:55,09:08,09:18,10.0,9.0,0.0,0.0
R029,1487,乘客1268,乘客1268,否,0,1,623,304,07:35,08:45,06:59,08:18,79.0,29.0,40.0,0.0
R029,1488,乘客1269,乘客1269,否,0,1,285,304,07:45,08:45,07:06,08:18,72.0,29.0,34.0,0.0
R029,1489,乘客1270,乘客1270,否,0,1,624,394,07:55,09:00,07:13,08:38,85.0,39.0,37.0,0.0
R029,2369,乘客2003,乘客2003,是,1,0,959,201,07:55,09:20,07:30,08:53,83.0,33.0,41.0,0.0
R029,2370,乘客2004,乘客2004,否,0,1,960,202,08:30,09:25,07:33,09:00,87.0,31.0,47.0,0.0
R029,1492,乘客1273,乘客1273,否,0,1,627,201,08:40,09:15,08:05,08:53,48.0,17.0,24.0,0.0
R029,1493,乘客1274,乘客1274,是,1,0,628,629,09:30,09:45,09:22,09:43,21.0,17.0,0.0,0.0
R029,1493,乘客1274,乘客1274跟車,否,0,1,628,629,09:30,09:45,09:22,09:43,21.0,17.0,0.0,0.0
R030,1084,乘客940,乘客940,否,0,1,471,347,07:05,08:55,07:06,08:32,86.0,34.0,41.0,0.0
R030,812,乘客717,乘客717,否,0,1,378,337,07:15,09:00,07:24,08:48,84.0,29.0,37.0,0.0
R030,859,乘客761,乘客761,是,1,0,398,337,07:30,09:00,07:39,08:48,69.0,26.0,29.0,0.0
R030,860,乘客762,乘客762,否,0,1,399,337,08:05,09:00,07:53,08:48,55.0,21.0,21.0,0.0
R030,861,乘客763,乘客763,否,0,1,400,346,08:15,09:20,08:03,08:58,55.0,17.0,25.0,0.0
R030,862,乘客764,乘客764,否,0,1,401,337,08:25,09:00,08:08,08:48,40.0,21.0,8.0,0.0
R030,863,乘客765,乘客765,否,0,1,402,337,08:35,09:00,08:14,08:48,34.0,21.0,4.0,0.0
